"date","daily.demand"
2015-11-13,19
2015-11-15,24
2015-11-16,19
2015-11-17,15
2015-11-18,16
2015-11-19,15
2015-11-20,18
2015-11-21,21
2015-11-22,19
2015-11-23,19
2015-11-24,18
2015-11-25,21
2015-11-26,21
2015-11-27,17
2015-11-28,20
2015-11-29,18
2015-11-30,18
2015-12-01,22
2015-12-02,25
2015-12-03,18
2015-12-04,21
2015-12-05,22
2015-12-06,21
2015-12-07,21
2015-12-08,19
2015-12-09,20
2015-12-10,16
2015-12-11,19
2015-12-12,14
2015-12-13,17
2015-12-14,17
2015-12-15,11
2015-12-17,16
2015-12-18,18
2015-12-19,17
2015-12-20,20
2015-12-21,21
2015-12-22,17
2015-12-23,14
2015-12-24,16
2015-12-25,15
2015-12-26,15
2015-12-27,12
2015-12-28,10
2015-12-29,14
2015-12-30,15
2015-12-31,19
2016-01-01,20
2016-01-02,22
2016-01-03,16
2016-01-04,17
2016-01-05,20
2016-01-06,15
2016-01-07,12
2016-01-08,15
2016-01-09,10
2016-01-10,13
2016-01-11,12
2016-01-12,11
2016-01-13,11
2016-01-14,11
2016-01-15,13
2016-01-17,17
2016-01-18,15
2016-01-19,14
2016-01-20,15
2016-01-21,17
2016-01-22,17
2016-01-23,16
2016-01-24,17
2016-01-25,17
2016-01-26,19
2016-01-27,15
2016-01-28,17
2016-01-29,18
2016-01-30,16
2016-01-31,16
2016-02-01,14
2016-02-02,14
2016-02-03,16
2016-02-04,16
2016-02-05,13
2016-02-06,11
2016-02-07,13
2016-02-08,15
2016-02-09,13
2016-02-10,14
2016-02-11,16
2016-02-12,12
2016-02-13,13
2016-02-14,12
2016-02-15,16
2016-02-16,15
2016-02-18,12
2016-02-19,15
2016-02-20,17
2016-02-21,14
2016-02-22,14
2016-02-23,15
2016-02-24,15
2016-02-25,14
2016-02-26,13
2016-02-27,14
2016-02-28,13
2016-02-29,14
2016-04-01,13
2016-04-02,10
2016-04-03,11
2016-04-04,8
2016-04-05,10
2016-04-06,11
2016-04-07,13
2016-04-08,12
2016-04-09,8
2016-04-10,11
2016-04-11,12
2016-04-12,11
2016-04-13,10
2016-04-14,9
2016-04-15,10
2016-04-16,7
2016-04-17,6
2016-04-18,8
2016-04-20,7
2016-04-21,7
2016-04-22,11
2016-04-23,11
2016-04-24,13
2016-04-25,9
2016-04-26,6
2016-04-27,5
2016-04-28,5
2016-04-29,7
2016-04-30,8
2016-05-01,10
2016-05-02,6
2016-05-03,6
2016-05-04,7
2016-05-05,9
2016-05-06,9
2016-05-07,9
2016-05-08,10
2016-05-09,11
2016-05-10,7
2016-05-11,10
2016-05-12,13
2016-05-13,16
2016-05-14,13
2016-05-15,10
2016-05-16,12
2016-05-17,9
2016-05-18,7
2016-05-19,7
2016-05-20,10
2016-05-22,6
2016-05-23,9
2016-05-24,4
2016-05-25,5
2016-05-26,7
2016-05-27,8
2016-05-28,8
2016-05-29,8
2016-05-30,8
2016-05-31,12
2016-06-01,9
2016-06-02,9
2016-06-03,8
2016-06-04,5
2016-06-05,6
2016-06-06,6
2016-06-07,8
2016-06-08,9
2016-06-09,14
2016-06-10,13
2016-06-11,14
2016-06-12,13
2016-06-13,13
2016-06-14,12
2016-06-15,11
2016-06-16,14
2016-06-17,14
