Year,Month,Day,toolb.dd
2016,2,20,17
2016,2,21,14
2016,2,22,14
2016,2,23,15
2016,2,24,15
2016,2,25,14
2016,2,26,13
2016,2,27,14
2016,2,28,13
2016,2,29,14
2016,3,1,0
2016,3,2,0
2016,3,3,0
2016,3,4,0
2016,3,5,0
2016,3,6,0
2016,3,7,0
2016,3,8,0
2016,3,9,0
2016,3,10,0
2016,3,11,0
2016,3,12,0
2016,3,13,0
2016,3,14,0
2016,3,15,0
2016,3,16,0
2016,3,17,0
2016,3,18,0
2016,3,19,0
2016,3,21,0
2016,3,22,0
2016,3,23,0
2016,3,24,0
2016,3,25,0
2016,3,26,0
2016,3,27,0
2016,3,28,0
2016,3,29,0
2016,3,30,0
2016,3,31,0
2016,4,1,13
2016,4,2,10
2016,4,3,11
2016,4,4,8
2016,4,5,10
2016,4,6,11
2016,4,7,13
2016,4,8,12
2016,4,9,8
2016,4,10,11
2016,4,11,12
2016,4,12,11
2016,4,13,10
2016,4,14,9
2016,4,15,10
2016,4,16,7
2016,4,17,6
2016,4,18,8
2016,4,20,7
2016,4,21,7
2016,4,22,11
2016,4,23,11
2016,4,24,13
2016,4,25,9
2016,4,26,6
2016,4,27,5
2016,4,28,5
2016,4,29,7
2016,4,30,8
2016,5,1,10
2016,5,2,6
2016,5,3,6
2016,5,4,7
2016,5,5,9
2016,5,6,9
2016,5,7,9
2016,5,8,10
2016,5,9,11
2016,5,10,7
2016,5,11,10
2016,5,12,13
2016,5,13,16
2016,5,14,13
